        s1      s2      s3      s4      s5      s6      s7      s8      s9      s10     s11     s12     s13     s14     s15
128m    10164   5809    4068    3170    2555    2156    1892    1689    1591    1507    1439    1368    1319    1275    1260
64m     10206   6038    4392    3424    2770    2379    2083    1889    1770    1690    1609    1559    1514    1493    1550
32m     14515   8292    6239    4979    4102    3504    3070    2703    2587    2563    2548    2581    2600    2576    2561
16m     20162   11903   8161    6303    5042    4199    3610    3163    3054    2953    2876    2715    2751    2700    2671
8m      20766   12090   8444    6363    5076    4243    3628    3176    3058    2962    2881    2808    2751    2698    2671
4m      21965   12719   8512    6383    5098    4254    3647    3191    3073    2995    2907    2844    2792    2806    2760
2m      22160   12985   8806    6523    5211    4340    3717    3256    3218    3226    3355    3533    3778    4138    4590
1024k   24333   19039   15575   13059   11218   9695    8487    7461    8209    8877    10013   10391   11018   11960   12305
512k    26063   24468   23836   23503   22253   20722   18975   17149   16848   16921   16684   16825   16534   16454   17406
256k    26066   24697   24251   23540   22866   21433   19562   17400   17021   16952   16820   17045   16659   16754   16425
128k    26048   24549   23963   23745   23693   22889   21162   20059   18167   18534   18365   18575   18055   18143   18174
64k     25883   24309   23932   23786   23239   22455   20749   18998   18386   18787   18030   18350   18055   18458   22021
32k     27508   26528   26054   25729   24822   24823   24079   23063   24595   24231   26215   25852   24231   22328   24818
16k     27416   26324   25955   24976   23947   26453   24788   25600   24462   25594   24817   23698   25000   23589   23947
