size	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	8617	6459	5428	4429	3880	3384	2976	2645	2377	2186	2010	1883	1793	1705	1569	
64m	8764	6462	5438	4671	4019	3500	3011	2699	2499	2300	2149	2017	1916	1775	1688	
32m	8570	6099	5216	4374	3713	3251	3153	2860	2721	2521	2407	2224	2106	2038	1964	
16m	9283	6968	5823	5313	4778	4611	4239	4004	3535	3738	3554	3437	3408	3313	3366	
8m	10235	9109	8431	7742	7043	6571	6213	5639	5564	5082	5020	4713	4561	4405	4303	
4m	11001	9887	9483	8846	8235	7777	7287	6881	6613	6368	6095	5846	5689	5511	5361	
2m	11229	9895	9508	8859	8233	7776	7291	6206	6645	6382	6065	5852	5688	5489	5339	
1024k	11223	9887	9503	8844	8248	7797	7287	6914	6631	6391	6060	5892	5693	5506	5397	
512k	11234	9907	9533	7951	8409	7964	7404	7002	6730	6604	6249	6042	5937	5759	5735	
256k	11345	10178	10010	9475	9183	8799	8467	8197	8064	7968	7797	7705	7684	7574	7546	
128k	10000	9157	9060	8748	9729	9580	9391	9239	9178	9173	9206	9131	9131	9148	9028	
64k	10000	9096	9105	9939	9767	9619	9477	9225	9187	9195	9114	9211	9074	9048	9532	
32k	9984	9882	9899	9729	9728	9708	9716	9571	9640	9627	9637	9588	10873	10826	10752	
16k	10104	9976	9876	9769	9702	9618	9559	9216	9402	9341	9173	9089	8905	8986	8736
